###,Menu Sprite,Pokémon,Egg Group 1,Egg Group 2,Cycles,Gen II,Gen III,Gen IV,Gen V-VI,Gen VII-VIII
880,,Dracozolt,No Eggs Discovered,—,35,—,—,—,—,8960
881,,Arctozolt,No Eggs Discovered,—,35,—,—,—,—,8960
882,,Dracovish,No Eggs Discovered,—,35,—,—,—,—,8960
883,,Arctovish,No Eggs Discovered,—,35,—,—,—,—,8960
884,,Duraludon,Mineral,Dragon,30,—,—,—,—,7680
885,,Dreepy,Amorphous,Dragon,40,—,—,—,—,10240
886,,Drakloak,Amorphous,Dragon,40,—,—,—,—,10240
887,,Dragapult,Amorphous,Dragon,40,—,—,—,—,10240
888,,Zacian,No Eggs Discovered,—,120,—,—,—,—,30720
889,,Zamazenta,No Eggs Discovered,—,120,—,—,—,—,30720
890,,Eternatus,No Eggs Discovered,—,120,—,—,—,—,30720
891,,Kubfu,No Eggs Discovered,—,120,—,—,—,—,30720
892,,Urshifu,No Eggs Discovered,—,120,—,—,—,—,30720
893,,Zarude,No Eggs Discovered,—,120,—,—,—,—,30720
894,,Regieleki,No Eggs Discovered,—,120,—,—,—,—,30720
895,,Regidrago,No Eggs Discovered,—,120,—,—,—,—,30720
896,,Glastrier,No Eggs Discovered,—,120,—,—,—,—,30720
897,,Spectrier,No Eggs Discovered,—,120,—,—,—,—,30720
898,,Calyrex,No Eggs Discovered,—,120,—,—,—,—,30720
