Ndex,Menu Sprite,English,Hangul,Revised,McCune-Reischauer,Official
798,,Kartana,종이신도,Jong-isindo,Chongishindo,?
799,,Guzzlord,악식킹,Aksikking,Akshikk'ing,?
800,,Necrozma,네크로즈마,Nekeurojeuma,Nek'ŭrojŭma,?
801,,Magearna,마기아나,Magiana,Magiana,?
802,,Marshadow,마샤도,Masyado,Masyado,?
803,,Poipole,베베놈,Bebenom,Pebenom,Vevenom
804,,Naganadel,아고용,Agoyong,Agoyong,?
805,,Stakataka,차곡차곡,Chagokchagok,Ch'agokch'agok,?
806,,Blacephalon,두파팡,Dupapang,Tup'ap'ang,?
807,,Zeraora,제라오라,Jeraora,Cheraora,Zeraora
808,,Meltan,멜탄,Meltan,Melt'an,?
809,,Melmetal,멜메탈,Melmetal,Melmet'al,?
810,,Grookey,흥나숭,Heungnasung,Hŭngnasung,?
811,,Thwackey,채키몽,Chaekimong,Ch'aek'imong,?
812,,Rillaboom,고릴타,Gorilta,Korilt'a,?
813,,Scorbunny,염버니,Yeombeoni,Yŏmbŏni,?
814,,Raboot,래비풋,Raebiput,Raebip'ut,?
815,,Cinderace,에이스번,Eiseubeon,Eisŭbŏn,?
816,,Sobble,울머기,Ulmeogi,Ulmŏgi,?
817,,Drizzile,누겔레온,Nugelle-on,Nugelle-on,?
818,,Inteleon,인텔리레온,Intellire-on,Int'ellire-on,?
819,,Skwovet,탐리스,Tamriseu,T'amnisŭ,?
820,,Greedent,요씽리스,Yossingriseu,Yossingnisŭ,?
821,,Rookidee,파라꼬,Parakko,P'arakko,?
822,,Corvisquire,파크로우,Pakeurou,P'ak'ŭrou,?
823,,Corviknight,아머까오,Ameokkao,Amŏkkao,?
824,,Blipbug,두루지벌레,Dulujibeolle,Turujibŏlle,?
825,,Dottler,레돔벌레,Redombeolle,Redombŏlle,?
826,,Orbeetle,이올브,Iolbeu,Iolbŭ,?
827,,Nickit,훔처우,Humcheou,Humch'ŏu,?
828,,Thievul,폭슬라이,Pokseullai,P'oksŭllai,?
829,,Gossifleur,꼬모카,Kkomoka,Kkomok'a,?
830,,Eldegoss,백솜모카,Baeksommoka,Paeksommok'a,?
831,,Wooloo,우르,Ureu,Urŭ,?
832,,Dubwool,배우르,Bae-ureu,Pae-urŭ,?
833,,Chewtle,깨물부기,Kkaemulbugi,Kkaemulbugi,?
834,,Drednaw,갈가부기,Galgabugi,Kalgabugi,?
835,,Yamper,멍파치,Meongpachi,Mŏngp'ach'i,?
836,,Boltund,펄스멍,Peolseumeong,P'ŏlsŭmŏng,?
837,,Rolycoly,탄동,Tandong,T'andong,?
838,,Carkol,탄차곤,Tanchagon,T'anch'agon,?
839,,Coalossal,석탄산,Seoktansan,Sŏkt'ansan,?
840,,Applin,과사삭벌레,Gwasasakbeolle,Kwasasakpŏlle,?
841,,Flapple,애프룡,Aepeuryong,Aep'ŭryong,?
842,,Appletun,단지래플,Danjiraepeul,Tanjiraep'ŭl,?
843,,Silicobra,모래뱀,Moraebaem,Moraebaem,?
844,,Sandaconda,사다이사,Sadaisa,Sadaisa,?
845,,Cramorant,윽우지,Euguji,Ŭguji,?
846,,Arrokuda,찌로꼬치,Jjirokkochi,Tchirokkoch'i,?
847,,Barraskewda,꼬치조,Kkochijo,Kkoch'ijo,?
848,,Toxel,일레즌,Illejeun,Illejŭn,?
849,,Toxtricity,스트린더,Seuteurindeo,Sŭt'ŭrindŏ,?
850,,Sizzlipede,태우지네,Tae-ujine,T'ae-ujine,?
851,,Centiskorch,다태우지네,Datae-ujine,Tat'ae-ujine,?
852,,Clobbopus,때때무노,Ttaettaemuno,Ttaettaemuno,?
853,,Grapploct,케오퍼스,Ke-opeosu,K'e-op'ŏsŭ,?
854,,Sinistea,데인차,Deincha,Teinch'a,?
855,,Polteageist,포트데스,Poteudeseu,P'ot'ŭdesŭ,?
856,,Hatenna,몸지브림,Momjibeurim,Momjibŭrim,?
857,,Hattrem,손지브림,Sonjibeurim,Sonjibŭrim,?
858,,Hatterene,브리무음,Beurimueum,Pŭrimuŭm,?
859,,Impidimp,메롱꿍,Melongkkung,Merongkkung,?
860,,Morgrem,쏘겨모,Ssogyeomo,Ssogyŏmo,?
861,,Grimmsnarl,오롱털,Orongteol,Orongt'ŏl,?
862,,Obstagoon,가로막구리,Garomakguri,Karomakkuri,?
863,,Perrserker,나이킹,Naiking,Naik'ing,?
864,,Cursola,산호르곤,Sanhoreugon,Sanhorŭgon,?
865,,Sirfetch'd,창파나이트,Changpanaiteu,Ch'angp'anait'ŭ,?
866,,Mr. Rime,마임꽁꽁,Maimkkongkkong,Maimkkongkkong,?
867,,Runerigus,데스판,Deseupan,Tesŭp'an,?
868,,Milcery,마빌크,Mabilkeu,Mabilk'ŭ,?
869,,Alcremie,마휘핑,Mahwiping,Mahwip'ing,?
870,,Falinks,대여르,Daeyeoreu,Taeyŏrŭ,?
871,,Pincurchin,찌르성게,Jjireuseongge,Tchirŭsŏngge,?
872,,Snom,누니머기,Nunimeogi,Nunimŏgi,?
873,,Frosmoth,모스노우,Moseunou,Mosŭnou,?
874,,Stonjourner,돌헨진,Dolhenjin,Torhenjin,?
875,,Eiscue,빙큐보,Bingkyubo,Pingk'yubo,?
876,,Indeedee,에써르,Esseoreu,Essŏrŭ,?
877,,Morpeko,모르페코,Moreupeko,Morŭp'ek'o,?
878,,Cufant,끼리동,Kkiridong,Kkiridong,?
879,,Copperajah,대왕끼리동,Daewangkkiridong,Taewangkkiridong,?
880,,Dracozolt,파치래곤,Pachiraegon,P'ach'iraegon,?
881,,Arctozolt,파치르돈,Pachireudon,P'ach'irŭdon,?
882,,Dracovish,어래곤,Eoraegon,Ŏraegon,?
883,,Arctovish,어치르돈,Eochireudon,Ŏch'irŭdon,?
884,,Duraludon,두랄루돈,Duralludon,Turalludon,?
885,,Dreepy,드라꼰,Deurakkon,Tŭrakkon,?
886,,Drakloak,드래런치,Deuraereonchi,Tŭraerŏnch'i,?
887,,Dragapult,드래펄트,Deuraepeolteu,Tŭraep'ŏlt'ŭ,?
888,,Zacian,자시안,Jasian,Chashian,?
889,,Zamazenta,자마젠타,Jamajenta,Chamajent'a,?
890,,Eternatus,무한다이노,Muhandaino,Muhandaino,?
891,,Kubfu,치고마,Chigoma,Chigoma,?
892,,Urshifu,우라오스,Uraoseu,Uraosŭ,?
893,,Zarude,자루도,Jarudo,Charudo,?
894,,Regieleki,레지에레키,Rejiereki,Rejierek'i,?
895,,Regidrago,레지드래고,Rejideuraego,Rejidŭraego,?
896,,Glastrier,블리자포스,Beullijaposeu,Pŭllijap'osŭ,?
897,,Spectrier,레이스포스,Reiseuposeu,Reisŭp'osŭ,?
898,,Calyrex,버드렉스,Beodeurekseu,Pŏdŭreksŭ,?
899,,Wyrdeer,신비록,Sinbirok,Sinbirok,?
900,,Kleavor,사마자르,Samajareu,Samajarŭ,?
901,,Ursaluna,다투곰,Datugom,Tat'ugom,?
902,,Basculegion,대쓰여너,Daesseuyeoneo,Taessŭyŏnŏ,?
903,,Sneasler,포푸니크,Popunikeu,P'op'unik'ŭ,?
904,,Overqwil,장침바루,Jangchimbaru,Changch'imbaru,?
905,,Enamorus,러브로스,Reobeuroseu,Rŏbŭrosŭ,?
